"PMID"	"Title"	"YearPubmed"	"MonthPubmed"	"DayPubmed"	"Date"	"country"	"iso"	"chloroquine"	"hydroxychloroquine"	"remdesivir"	"ritonavir"	"lopinavir"	"favipiravir"	"azithromycin"	"tocilizumab"	"antivirals"	"interferon"	"antibodies"	"vaccine"	"Inst"	"lat"	"long"
"44"	32283904	"The Early Impact of the Covid-19 Pandemic on the Global and Turkish Economy."	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"45"	32143990	"The deadly coronaviruses: The 2003 SARS pandemic and the 2020 novel coronavirus epidemic in China."	2020	3	8	2020-03-08	""	""	0	0	0	0	0	0	0	0	0	0	0	1	""	NA	NA
"46"	32273591	"The COVID-19 vaccine development landscape."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	1	""	NA	NA
"47"	32212931	"The COVID-19 Pandemic: Making Sense of Rumor and Fear."	2020	3	28	2020-03-28	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"48"	32250388	"The COVID-19 Pandemic in the US: A Clinical Update."	2020	4	7	2020-04-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"49"	32155273	"The Coronavirus Disease 2019 (COVID-19)."	2020	3	11	2020-03-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"50"	31953166	"The continuing 2019-nCoV epidemic threat of novel coronaviruses to global health - The latest 2019 novel coronavirus outbreak in Wuhan, China."	2020	1	19	2020-01-19	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"51"	32234102	"The consequences of the COVID-19 pandemic on mental health and implications for clinical practice."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"52"	32259189	"The Challenge of Preventing COVID-19 Spread in Correctional Facilities."	2020	4	8	2020-04-08	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"53"	32138488	"The 2019 Novel Coronavirus Outbreak - A Global Threat."	2020	3	7	2020-03-07	""	""	0	0	1	1	1	0	0	0	1	0	0	0	""	NA	NA
"54"	32236503	"Testing Individuals for Coronavirus Disease 2019 (COVID-19)."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"55"	32269375	"Ten work-life balance tips for researchers based at home during the pandemic."	2020	4	10	2020-04-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"56"	32233972	"Temporary Emergency Guidance to US Stroke Centers During the COVID-19 Pandemic."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"57"	32220986	"Telemedicine services thrive during Covid-19."	2020	3	30	2020-03-30	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"58"	32224769	"Surviving Sepsis Campaign: Guidelines on the Management of Critically Ill Adults with Coronavirus Disease 2019 (COVID-19)."	2020	4	1	2020-04-01	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"59"	32231320	"Suppressing early information on COVID-19 and other health scares can aid misinformation."	2020	4	2	2020-04-02	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"60"	32213081	"Strengthening China's Public Health Response System: From SARS to COVID-19."	2020	3	28	2020-03-28	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"61"	32255477	"Strategies to control COVID-19 and future pandemics in Africa and around the globe."	2020	4	8	2020-04-08	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"62"	32265571	"Stop the coronavirus stigma now."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"63"	32273606	"Spread of SARS-CoV-2."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"64"	32242115	"Special report: The simulations driving the world's response to COVID-19."	2020	4	4	2020-04-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"65"	32203363	"South Korea is reporting intimate details of COVID-19 cases: has it helped?"	2020	3	24	2020-03-24	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"66"	32221579	"Sourcing Personal Protective Equipment During the COVID-19 Pandemic."	2020	3	30	2020-03-30	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"67"	32268046	"Social Media Spread During Covid-19: The Pros and Cons of Likes and Shares."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"68"	32273622	"Six ways to juggle science and childcare from home."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"69"	32279318	"Should Institutions Disclose the Names of Employees with Covid-19?"	2020	4	13	2020-04-13	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"70"	32271625	"Should Infants Be Separated from Mothers with COVID-19? First, Do No Harm."	2020	4	10	2020-04-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"71"	32235939	"Share mobile and social-media data to curb COVID-19."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"72"	32250095	"Severe course of COVID-19 in a middle-aged man without risk factors."	2020	4	7	2020-04-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"73"	32240079	"Severe Acute Respiratory Syndrome Coronavirus 2 Shedding by Travelers, Vietnam, 2020."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"74"	32243255	"Severe Acute Respiratory Syndrome Coronavirus 2 RNA Detected in Blood Donations."	2020	4	4	2020-04-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"75"	32275498	"Severe Acute Respiratory Syndrome Coronavirus 2 Infection among Returnees to Japan from Wuhan, China, 2020."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"76"	32160149	"Severe Acute Respiratory Syndrome Coronavirus 2 from Patient with 2019 Novel Coronavirus Disease, United States."	2020	3	12	2020-03-12	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"77"	32267220	"Severe Acute Respiratory Syndrome Coronavirus 2-Specific Antibody Responses in Coronavirus Disease 2019 Patients."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	1	1	""	NA	NA
"78"	32218548	"Seven tips to manage your mental health and well-being during the COVID-19 outbreak."	2020	3	29	2020-03-29	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"79"	32191173	"Serial Interval of COVID-19 among Publicly Reported Confirmed Cases."	2020	3	20	2020-03-20	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"80"	32277197	"SDCEP COVID-19 guidance update."	2020	4	12	2020-04-12	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"81"	32269356	"Science in the time of COVID-19."	2020	4	10	2020-04-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"82"	32109274	"Saudi Arabia`s measures to curb the COVID-19 outbreak: temporary suspension of the Umrah pilgrimage."	2020	2	29	2020-02-29	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"83"	32242936	"SARS-CoV-2, the medical profession, ventilator beds, and mortality predictions: personal reflections of an Australian clinician."	2020	4	4	2020-04-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"84"	32151324	"SARS-CoV-2 is an appropriate name for the new coronavirus."	2020	3	11	2020-03-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"85"	32283894	"SARS-CoV-2 Epidemiology and Control, Different Scenarios for Turkey."	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"86"	32246121	"Safely conducting essential research in the face of COVID-19."	2020	4	5	2020-04-05	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"87"	32242126	"Safeguard research in the time of COVID-19."	2020	4	4	2020-04-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"88"	32223689	"Rules for scientific progress while living with the COVID-19 Pandemic: from 'benchside' to 'fireside.'"	2020	4	1	2020-04-01	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"89"	32202489	"Risk of COVID-19 importation to the Pacific islands through global air travel."	2020	3	24	2020-03-24	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"90"	32053479	"Risk for Transportation of 2019 Novel Coronavirus Disease from Wuhan to Other Cities in China."	2020	2	14	2020-02-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"91"	32197060	"Rhabdomyolysis as Potential Late Complication Associated with COVID-19."	2020	3	21	2020-03-21	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"92"	32232977	"Response to &quot;Comments on 'Zhang et al.: Clinical trial analysis of 2019-nCoV therapy registered in China '&quot;."	2020	4	2	2020-04-02	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"93"	32219845	"Responding to COVID-19: How to Navigate a Public Health Emergency Legally and Ethically."	2020	3	29	2020-03-29	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"94"	32267762	"Research towards treating COVID-19."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"95"	32174069	"Report on the Epidemiological Features of Coronavirus Disease 2019 (COVID-19) Outbreak in the Republic of Korea from January 19 to March 2, 2020."	2020	3	17	2020-03-17	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"96"	32228222	"Renin-angiotensin system inhibitors improve the clinical outcomes of COVID-19 patients with hypertension."	2020	4	2	2020-04-02	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"97"	32278373	"Regulators split on antimalarials for COVID-19."	2020	4	13	2020-04-13	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"98"	32221059	"Reflections on Nursing Ingenuity During the COVID-19 Pandemic."	2020	3	30	2020-03-30	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"99"	32289259	"Reflections on COVID-19."	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"100"	32035018	"Reducing mortality from 2019-nCoV: host-directed therapies should be an option."	2020	2	9	2020-02-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"101"	32247378	"Redefining vulnerability in the era of COVID-19."	2020	4	6	2020-04-06	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"102"	32231173	"Recommendations of management in SARS-CoV-2 infection of the Polish Association of Epidemiologists and Infectiologists."	2020	4	2	2020-04-02	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"103"	32249715	"Recommendations for Tiered Stratification of Urologic Surgery Urgency in the COVID-19 Era."	2020	4	7	2020-04-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"104"	32208493	"Recommendations for the admission of patients with COVID-19 to intensive care and intermediate care units (ICUs and IMCUs)."	2020	3	26	2020-03-26	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"105"	31992388	"Real-time tentative assessment of the epidemiological characteristics of novel coronavirus infections in Wuhan, China, as at 22 January 2020."	2020	1	30	2020-01-30	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"106"	32165502	"RCVS may relax guidance due to Covid-19."	2020	3	14	2020-03-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"107"	32186277	"Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020."	2020	3	19	2020-03-19	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"108"	32271724	"Rapid Sentinel Surveillance for COVID-19 - Santa Clara County, California, March 2020."	2020	4	10	2020-04-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"109"	32267140	"Rapid progression of lung inflammatory infiltrates in SARS-CoV-2 infection in a young man."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"110"	32156330	"Rapid establishment of laboratory diagnostics for the novel coronavirus SARS-CoV-2 in Bavaria, Germany, February 2020."	2020	3	12	2020-03-12	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"111"	32234115	"Rapid assessment of regional SARS-CoV-2 community transmission through a convenience sample of healthcare workers, the Netherlands, March 2020."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"112"	32217705	"Race to find COVID-19 treatments accelerates."	2020	3	29	2020-03-29	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"113"	32202993	"Public Mental Health Crisis during COVID-19 Pandemic, China."	2020	3	24	2020-03-24	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"114"	32132747	"Public health round-up."	2020	3	7	2020-03-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"115"	32266947	"Public Health and Ethics Intersect at New Levels With Gerontological Nursing in COVID-19 Pandemic."	2020	4	9	2020-04-09	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"116"	32200634	"Protein structure and sequence re-analysis of 2019-nCoV genome refutes snakes as its intermediate host or the unique similarity between its spike protein insertions and HIV-1."	2020	3	24	2020-03-24	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"117"	32271722	"Presymptomatic Transmission of SARS-CoV-2 - Singapore, January 23-March 16, 2020."	2020	4	10	2020-04-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"118"	32240123	"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 - United States, February 12-March 28, 2020."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"119"	32227799	"Preliminary case report on the SARS-CoV-2 cluster in the UK, France, and Spain"	2020	4	1	2020-04-01	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"120"	32269088	"Predictors of Mortality for Patients with COVID-19 Pneumonia Caused by SARS-CoV-2: A Prospective Cohort Study."	2020	4	10	2020-04-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"121"	32281649	"Prawa czlowieka dzieci niepelnosprawnych w sytuacjach kryzysowych: wyzwanie COVID-19."	2020	4	14	2020-04-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"122"	32234117	"Potential short-term outcome of an uncontrolled COVID-19 epidemic in Lombardy, Italy, February to March 2020."	2020	4	3	2020-04-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"123"	32156332	"Potential scenarios for the progression of a COVID-19 epidemic in the European Union and the European Economic Area, March 2020."	2020	3	12	2020-03-12	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"124"	32091386	"Potential Presymptomatic Transmission of SARS-CoV-2, Zhejiang Province, China, 2020."	2020	2	25	2020-02-25	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"125"	32138266	"Potential Factors Influencing Repeated SARS Outbreaks in China."	2020	3	7	2020-03-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"126"	32211831	"Postacute Care Preparedness for COVID-19: Thinking Ahead."	2020	3	27	2020-03-27	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"127"	32183934	"Post-discharge surveillance and positive virus detection in two medical staff recovered from coronavirus disease 2019 (COVID-19), China, January to February 2020."	2020	3	19	2020-03-19	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"128"	32162896	"Possible therapeutic role of a highly standardized mixture of active compounds derived from cultured Lentinula edodes mycelia (AHCC) in patients infected with 2019 novel coronavirus."	2020	3	13	2020-03-13	""	""	0	0	0	0	0	0	0	0	0	0	0	1	""	NA	NA
"129"	32228808	"Policy Decisions and Use of Information Technology to Fight 2019 Novel Coronavirus Disease, Taiwan."	2020	4	2	2020-04-02	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"130"	32181903	"Platelet-to-lymphocyte ratio is associated with prognosis in patients with Corona Virus Disease-19."	2020	3	18	2020-03-18	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"131"	32251839	"Perspectives on Surgery in the time of COVID-19: Safety First."	2020	4	7	2020-04-07	"United Kingdom"	"GB"	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"132"	32195699	"Perioperative Management of Patients Infected with the Novel Coronavirus: Recommendation from the Joint Task Force of the Chinese Society of Anesthesiology and the Chinese Association of Anesthesiologists."	2020	3	21	2020-03-21	""	""	0	0	0	0	0	0	0	0	0	0	0	1	""	NA	NA
"133"	32287142	"Pediatric Airway Management in COVID-19 patients - Consensus Guidelines from the Society for Pediatric Anesthesia's Pediatric Difficult Intubation Collaborative and the Canadian Pediatric Anesthesia Society."	2020	4	15	2020-04-15	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"134"	32276093	"Palliative Care in the time of COVID-19: Reflections from the frontline."	2020	4	11	2020-04-11	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"135"	32278369	"Palliative care and the COVID-19 pandemic."	2020	4	13	2020-04-13	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"136"	32120965	"Outbreak of Novel Coronavirus (SARS-Cov-2): First Evidences From International Scientific Literature and Pending Questions."	2020	3	4	2020-03-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"137"	32032674	"Outbreak of novel Corona virus (2019-nCoV); implications for travelers to Pakistan."	2020	2	8	2020-02-08	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"138"	32250979	"Oral and nasal decontamination for COVID-19 patients: more harm than good?"	2020	4	7	2020-04-07	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"139"	32127711	"Open peer-review platform for COVID-19 preprints."	2020	3	5	2020-03-05	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"140"	32282023	"Oncology Practice During the COVID-19 Pandemic."	2020	4	14	2020-04-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"141"	32120822	"On the Coronavirus (COVID-19) Outbreak and the Smart City Network: Universal Data Sharing Standards Coupled with Artificial Intelligence (AI) to Benefit Urban Health Monitoring and Management."	2020	3	4	2020-03-04	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"142"	32222186	"Offline: COVID-19 and the NHS-&quot;a national scandal&quot;."	2020	3	31	2020-03-31	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"143"	32247383	"Offline: COVID-19-what countries must do now."	2020	4	6	2020-04-06	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"144"	32278372	"Offline: COVID-19-bewilderment and candour."	2020	4	13	2020-04-13	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"145"	32199478	"Offline: COVID-19-a reckoning."	2020	3	23	2020-03-23	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"146"	32007152	"Offline: 2019-nCoV outbreak-early lessons."	2020	2	3	2020-02-03	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"147"	32035537	"Offline: 2019-nCoV-&quot;A desperate plea&quot;."	2020	2	10	2020-02-10	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
"148"	32279469	"Off-label prescribing in the midst of a pandemic: The case of hydroxychloroquine."	2020	4	14	2020-04-14	""	""	1	1	0	0	0	0	0	0	1	0	0	0	""	NA	NA
"149"	32283050	"Nursing When the World is Upside Down."	2020	4	14	2020-04-14	""	""	0	0	0	0	0	0	0	0	0	0	0	0	""	NA	NA
